#nif;cups;fecha_alta;direccion;potencia;tarifa;descuento
13136178L;ES0022105511819019MK3F;16/05/2023;Móstoles;3;0.10;0.01
78998557G;ES0436874997525372DB2L;21/05/2022;Santander;3;0.10;0.01
57200500I;ES0031105511819012LM0G;20/01/2023;Baracaldo;3.5;0.12;0.02
22034853T;ES6295593764587362KU7B;16/03/2024;Getafe;3.5;0.12;0.02
52905244B;ES0031105511819013KF1L;23/10/2022;Gasteiz;4;0.11;0.03
87823412W;ES0031105511811032KD2N;28/07/2022;Toledo;4;0.11;0.03
77146813S;ES2465261742527258VT1I;26/01/2024;Vigo;4.5;0.09;0.05
76735150H;ES2517092304888443TW1Z;23/04/2022;Logroño;4.5;0.09;0.05
78462106Y;ES9355592778299652CQ6R;29/01/2022;Ciudad Real;5;0.14;0
52712116R;ES5680755686951269MW8L;07/02/2024;Pamplona;5;0.14;0
67310234Z;ES2758782374025326QO9N;22/06/2021;Cartagena;5.5;0.10;0.01
22684621L;ES7766349653815630WQ4Y;30/01/2023;Melilla;5.5;0.10;0.01
55155516C;ES3173141704518326FL5U;18/10/2023;Teruel;3;0.12;0.02
46122744W;ES2182412423812153PY6M;13/06/2023;Pamplona;3;0.12;0.02
39612204D;ES2830388444471430HJ1D;07/07/2023;Las Palmas;3.5;0.11;0.03
40628985N;ES3338770359462294QM4M;05/02/2024;Ciudad Real;3.5;0.11;0.03
80318801J;ES6377832598561966RB1B;18/11/2023;Palma de Mallorca;4;0.09;0.05
54266378L;ES3709410122075523YE5I;19/09/2023;Cartagena;4;0.09;0.05
14631751K;ES1588355312947959CW1L;12/10/2023;Valéncia;4.5;0.14;0
18717823Q;ES7337814773733822EK0J;27/10/2023;Bilbo;4.5;0.14;0
31026972F;ES1243138330122629XL8F;17/05/2024;Teruel;5;0.10;0.01
67573375S;ES6246263721855843FK8C;13/04/2024;Cartagena;5;0.10;0.01
08184429R;ES9738697121565866JN5R;28/06/2023;Logroño;5.5;0.12;0.02
